Timestamp;dealdata
49258000;55
49284000;-91
49310000;19
49336000;31
49362000;7
49387000;19
49413000;-45
49439000;-89
49465000;-27
49491000;2
49517000;-57
49543000;13
49569000;-35
49595000;23
49622000;38
49648000;4
49674000;-21
49700000;-43
49725000;-65
49750000;-97
49776000;-66
49802000;-53
49828000;-1
49854000;-73
49880000;-13
49907000;55
49933000;3
49958000;-5
49984000;4
50010000;19
50036000;-33
50062000;23
50088000;-62
50113000;55
50139000;-11
50165000;13
50191000;-46
50217000;7
50243000;-19
50269000;-3
50296000;-17
50323000;59
50349000;-61
50375000;7
50401000;-83
50427000;7
50453000;49
50479000;11
50504000;29
50530000;-27
50556000;-9
50582000;-5
50608000;27
50634000;5
50660000;-31
50686000;29
50712000;19
50738000;-47
50764000;-17
50790000;-42
50816000;-27
50842000;-12
50867000;-33
50893000;-18
50919000;-116
50945000;-10
50970000;55
50996000;49
51021000;7
51047000;7
51072000;-9
51098000;-13
51124000;-73
51150000;-25
51176000;39
51202000;39
51228000;-73
51253000;-28
51279000;83
51305000;-9
51331000;15
51357000;37
51383000;-95
51409000;49
51436000;-125
51462000;-73
51488000;-13
51514000;-11
51540000;-97
51566000;-33
51592000;-17
51617000;100
51643000;-29
51669000;3
51695000;-59
51721000;-41
51747000;30
51773000;-63
51799000;-1
51825000;-43
51851000;5
51877000;-1
51903000;-15
51929000;-36
51955000;-3
51981000;-3
52006000;-62
52032000;-41
52058000;-25
52084000;44
52110000;-93
52136000;14
52162000;43
52188000;-27
52214000;44
52240000;23
52266000;-25
52292000;-1
52318000;3
52344000;23
52369000;-37
52396000;43
52422000;-9
52449000;-113
52475000;-25
52501000;-21
52527000;-49
52553000;29
52579000;-21
52606000;47
52632000;-44
52658000;-35
52684000;15
52710000;19
52735000;54
52761000;-33
52787000;19
52813000;-11
52838000;-63
52864000;39
52890000;-93
52916000;3
52942000;-75
52968000;-57
52994000;4
53020000;-46
53046000;1
53072000;7
53098000;-97
53123000;35
53149000;51
53175000;21
53201000;-45
53227000;-52
53253000;23
53279000;-29
53304000;15
53331000;23
53357000;43
53387000;-63
53415000;-25
53441000;-57
53467000;-81
53492000;-57
53518000;-25
53544000;-75
53570000;-73
53596000;31
53622000;-34
53649000;-34
53675000;-57
53701000;36
53727000;-31
53753000;21
53779000;-13
53805000;-9
53831000;-20
53856000;-35
53882000;93
53908000;43
53934000;3
53960000;-41
53986000;-17
54012000;-52
54038000;23
54064000;-69
54090000;-109
54116000;39
54142000;-1
54168000;39
54194000;63
54220000;43
54245000;39
54271000;-1
54297000;53
54323000;-1
54349000;44
54379000;-25
54406000;11
54432000;61
54458000;-98
54484000;-9
54510000;-57
54536000;61
54562000;-25
54588000;50
54613000;11
54639000;-9
54665000;15
54691000;-73
54717000;55
54743000;-28
54769000;7
54795000;-9
54820000;83
54846000;-73
54872000;29
54898000;63
54924000;-47
54950000;19
54976000;-43
55001000;75
55027000;13
55053000;1
55079000;-1
55105000;14
55131000;65
55157000;-73
55183000;54
55209000;-41
55235000;-57
55261000;-9
55287000;-117
55313000;7
55339000;44
55364000;-25
55390000;31
55416000;-57
55442000;27
55468000;-19
55494000;-31
55520000;-18
55546000;-11
55572000;-21
55598000;19
55624000;7
55651000;-35
55677000;-9
55703000;-75
55728000;69
55754000;37
55780000;-94
55806000;-13
55832000;-29
55858000;6
55884000;-25
55910000;-17
55936000;-14
55962000;5
55988000;-43
56014000;-91
56040000;6
56066000;23
56092000;61
56117000;51
56143000;-17
56169000;69
56195000;-31
56221000;-35
56248000;7
56274000;29
56300000;35
56327000;-52
56353000;75
56383000;67
56410000;-1
56436000;95
56462000;55
56487000;-21
56513000;-17
56539000;35
56565000;95
56591000;22
56617000;-89
56643000;-44
56669000;-66
56695000;-69
56721000;-4
56747000;-94
56772000;-10
56798000;-3
56824000;-9
56850000;-27
56875000;77
56901000;63
56927000;53
56953000;-9
56979000;-11
57005000;31
57031000;-33
57057000;45
57083000;-33
57109000;-9
57135000;35
57161000;-25
57187000;-81
57213000;53
57238000;-26
57264000;-9
57290000;-43
57316000;-11
57342000;-41
57368000;-17
57394000;-19
57420000;-45
57446000;31
57471000;-11
57497000;-41
57523000;23
57549000;-27
57575000;35
57600000;5
57626000;29
57652000;-19
57678000;-11
57704000;-25
57730000;-89
57756000;-53
57782000;7
57808000;-3
57835000;-25
57862000;-31
57888000;-57
57914000;-25
57940000;-83
57966000;-10
57991000;39
58017000;-13
58043000;17
58069000;23
58095000;46
58121000;97
58147000;-58
58173000;7
58199000;-9
58225000;-45
58251000;-2
58277000;-27
58303000;-27
58329000;55
58354000;-26
58386000;-29
58413000;-59
58439000;33
58465000;-1
58491000;-83
58517000;18
58542000;-27
58568000;-14
58594000;97
58620000;21
58646000;-36
58672000;31
58698000;-44
58724000;-35
58749000;70
58775000;-17
58801000;-26
58827000;-43
58853000;-91
58879000;-113
58905000;-3
58931000;18
58957000;1
58983000;54
59009000;71
59035000;-5
59061000;-91
59087000;-52
59112000;15
59138000;-66
59164000;35
59190000;-13
59216000;-33
59242000;-57
59268000;-76
59294000;-25
59320000;-1
59346000;20
59384000;63
59410000;-17
59436000;23
59462000;39
59487000;-41
59513000;-59
59539000;15
59565000;-49
59591000;-67
59617000;-12
59643000;-33
59669000;29
59695000;-41
59721000;15
59747000;53
59773000;-41
59799000;-17
59825000;-57
59851000;-9
59876000;46
59903000;-33
59929000;-41
59955000;-25
59981000;11
60007000;21
60033000;-65
60059000;-33
60085000;31
60111000;55
60137000;55
60163000;13
60189000;69
60215000;-42
60240000;-41
60266000;-50
60292000;-1
60318000;20
60344000;5
60370000;-85
60402000;15
60428000;-35
60454000;39
60480000;-15
60506000;39
60532000;29
60558000;-63
60584000;-35
60609000;-21
60635000;3
60661000;95
60687000;47
60713000;-78
60739000;31
60765000;7
60791000;67
60817000;-51
60843000;-16
60869000;-30
60895000;35
60921000;-59
60948000;-27
60973000;43
60999000;-13
61025000;-33
61051000;-11
61077000;-49
61103000;-29
61129000;-115
61155000;49
61181000;22
61207000;-81
61233000;-17
61259000;-9
61285000;-9
61311000;-46
61337000;131
61362000;-42
61397000;-1
61424000;-9
61450000;-9
61475000;-57
61501000;-1
61527000;-107
61552000;-61
61579000;103
61605000;71
61631000;14
61657000;-58
61683000;-61
61709000;39
61734000;-4
61760000;69
61786000;-13
61812000;23
61838000;47
61864000;-63
61890000;-73
61916000;15
61942000;-65
61968000;31
61995000;31
62021000;-97
62047000;107
62073000;39
62098000;-57
62124000;75
62150000;-34
62176000;-43
62202000;-69
62228000;38
62254000;63
62280000;-61
62306000;-69
62332000;-73
62358000;-19
62394000;31
62422000;37
62448000;17
62473000;15
62499000;-25
62525000;-121
62551000;-1
62577000;19
62603000;5
62629000;31
62655000;47
62681000;-9
62707000;-33
62733000;-27
62758000;-25
62784000;15
62810000;1
62835000;-27
62861000;-3
62887000;-43
62913000;-76
62939000;15
62965000;11
62991000;2
63017000;77
63043000;-34
63069000;7
63095000;29
63121000;-97
63147000;54
63174000;-73
63200000;29
63225000;-49
63251000;-73
63277000;31
63303000;47
63329000;71
63355000;47
63392000;6
63421000;-9
63447000;-41
63473000;-62
63499000;5
63525000;-59
63551000;-9
63577000;-67
63602000;53
63628000;-113
63654000;-89
63680000;-76
63706000;-41
63732000;38
63758000;-35
63784000;-33
63810000;-45
63836000;39
63862000;2
